reviewer;paper
Luca Biferale;Application of multilateration for microphone localization using audio samples at room scale.
Vassilios D. Tourassis;Application of multilateration for microphone localization using audio samples at room scale.
Andreas Johann Hörmer;Application of multilateration for microphone localization using audio samples at room scale.
Chenxin Lyu;Optische Untersuchungen von Blitzeinschlägen in Verbindung mit Feldmessungen und Beurteilung von Blitzortungssystemen.
Jianwei Zhang 0001;Optische Untersuchungen von Blitzeinschlägen in Verbindung mit Feldmessungen und Beurteilung von Blitzortungssystemen.
Brian Zajac;Optische Untersuchungen von Blitzeinschlägen in Verbindung mit Feldmessungen und Beurteilung von Blitzortungssystemen.
Saeed Sarencheh;Untersuchung der Reduktion der harmonischen elektrischen Größen beim Betrieb einer Synchron-Reluktanzmaschine.
Christopher Brunskill;Untersuchung der Reduktion der harmonischen elektrischen Größen beim Betrieb einer Synchron-Reluktanzmaschine.
Adel Ben Mnaouer;Untersuchung der Reduktion der harmonischen elektrischen Größen beim Betrieb einer Synchron-Reluktanzmaschine.
Bernard Favre-Bulle;Raman spectroscopy of particles in suspension concentrated by an ultrasonic standing wave.
Matthew R. Walter;Raman spectroscopy of particles in suspension concentrated by an ultrasonic standing wave.
Laura Monica Gorghiu;Raman spectroscopy of particles in suspension concentrated by an ultrasonic standing wave.
James H. Lever;Korrelation transienter Spannungen in einem 380-kV- und 220-kV-Übertragungsnetz mit Schaltmeldeprotokollen und Blitzortungsdaten.
Markus Henke;Korrelation transienter Spannungen in einem 380-kV- und 220-kV-Übertragungsnetz mit Schaltmeldeprotokollen und Blitzortungsdaten.
Frantisek Hunka;Korrelation transienter Spannungen in einem 380-kV- und 220-kV-Übertragungsnetz mit Schaltmeldeprotokollen und Blitzortungsdaten.
Stephan Pack;Interoperability as a key factor for digitalisation - a success story for cross-sector knowledge transfer.
Mehdi Jafari;Interoperability as a key factor for digitalisation - a success story for cross-sector knowledge transfer.
John J. Heine;Interoperability as a key factor for digitalisation - a success story for cross-sector knowledge transfer.
Richard D. Green;Optimierungsmethodik flussmodulierter Maschinen am Beispiel der Flux Reversal Maschine.
Ji Zhang 0003;Optimierungsmethodik flussmodulierter Maschinen am Beispiel der Flux Reversal Maschine.
Gottfried Koppensteiner;Optimierungsmethodik flussmodulierter Maschinen am Beispiel der Flux Reversal Maschine.
Philippe Forster;Improvement of photodiodes in 0.35 µm BiCMOS technology.
Scott J. Duncan;Improvement of photodiodes in 0.35 µm BiCMOS technology.
Ákos Hajdu;Improvement of photodiodes in 0.35 µm BiCMOS technology.
Brittany A. Duncan;NFC in the K-Project Secure Contactless Sphere - smart RFID technologies for a connected world.
Pravakar Roy;NFC in the K-Project Secure Contactless Sphere - smart RFID technologies for a connected world.
Jonathan P. How;NFC in the K-Project Secure Contactless Sphere - smart RFID technologies for a connected world.
Luke Yoder;Versatile programmable integrated interface for robust capacitive sensors.
Masha Sosonkina;Versatile programmable integrated interface for robust capacitive sensors.
Christoph Feichtinger;Versatile programmable integrated interface for robust capacitive sensors.
Kumkum Dubey;Digitally-intensive transceivers for future mobile communications - emerging trends and challenges.
Jeonggeun Lim;Digitally-intensive transceivers for future mobile communications - emerging trends and challenges.
Vaios Lappas;Digitally-intensive transceivers for future mobile communications - emerging trends and challenges.
C. David Remy;Transformation: nanotechnology - challenges in transistor design and future technologies.
Masha Sosonkina;Transformation: nanotechnology - challenges in transistor design and future technologies.
Michael Perschbacher;Transformation: nanotechnology - challenges in transistor design and future technologies.
Panos Kotsampopoulos;Systematic test of time-triggered communication architectures using a component-based approach.
